License,Franchise,Country,Region,Latitude,Longitude,CountryWikidata,CoordinateSource,FranchiseOriginSource
MAD TV,MAD TV,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Maleficent,The Shining","Maleficent,The Shining",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Mandy,Mandy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Marvel Lucha Libre Edition,Venom","Marvel Lucha Libre Edition,Venom",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Marvel Lucha Libre Edition,Wolverine","Marvel Lucha Libre Edition,Wolverine",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Marvel Zombies,Marvel Zombies,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Masters of the Universe,Masters of the Universe,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Mattel,Polly Pocket","Mattel,Polly Pocket",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Mech Strike,Mech Strike,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Mech Strike,Venom","Mech Strike,Venom",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Mech Strike,Wolverine,X-Men","Mech Strike,Wolverine,X-Men",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Metallica,Metallica,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Mickey Mouse,Mickey Mouse,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Mickey Mouse,Walt Disney World 50th","Mickey Mouse,Walt Disney World 50th",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Mike and Ike,Mike and Ike,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Miles Davis,Miles Davis,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Minions,Minions,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Minnie Mouse,Minnie Mouse,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Minnie Mouse,Walt Disney World 50th","Minnie Mouse,Walt Disney World 50th",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
MLB,MLB,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Moana,Moana,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Moana,Ultimate Princess Collection","Moana,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Monsters Inc,Monsters Inc,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Monsters Inc.,Monsters Inc.,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Moon Knight,Moon Knight,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Mr. Potato Head,Mr. Potato Head,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Mulan,Mulan,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Munchies,Munchies,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
My Hero Academia,My Hero Academia,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q104918088
Naruto Shippuden,Naruto Shippuden,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q26971382
NASCAR,NASCAR,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
NBA,NBA,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"NBA,Space Jam","NBA,Space Jam",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
NCAA,NCAA,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
NFL,NFL,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
NHL,NHL,Canada,North America,60.0,-110.0,Q16,https://www.wikidata.org/wiki/Q16,
"Nissin,Sanrio","Nissin,Sanrio",Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Nosferatu,Nosferatu,Germany,Europe,51.0,10.0,Q183,https://www.wikidata.org/wiki/Q183,
Notorious B.I.G.,Notorious B.I.G.,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Obi-Wan Kenobi,Star Wars","Obi-Wan Kenobi,Star Wars",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
Oddvocados,Oddvocados,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
One Piece,One Piece,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q673
Outkast,Outkast,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Pan Am,Pan Am,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Parks and Recreation,Parks and Recreation,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Peacemaker,Peacemaker,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Peanuts,Peanuts,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Peppermint Lane,Peppermint Lane,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Peter Pan,Walt Disney World 50th","Peter Pan,Walt Disney World 50th",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Pocahontas,Ultimate Princess Collection","Pocahontas,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Pokémon,Pokémon,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q864
Pop-Tarts,Pop-Tarts,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Pops! With Purpose,Pops! With Purpose,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Pops! With Purpose,United States Air Force","Pops! With Purpose,United States Air Force",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Pops! With Purpose,United States Army","Pops! With Purpose,United States Army",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Pops! With Purpose,United States Marine Corps","Pops! With Purpose,United States Marine Corps",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Pops! With Purpose,United States Navy","Pops! With Purpose,United States Navy",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Post Malone,Post Malone,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Powerpuff Girls,Powerpuff Girls,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Princess and the Frog,Ultimate Princess Collection","Princess and the Frog,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Queen,Queen,United Kingdom,Europe,54.6,-2.0,Q145,https://www.wikidata.org/wiki/Q145,
"Rapunzel,Ultimate Princess Collection","Rapunzel,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Raya and the Last Dragon,Raya and the Last Dragon,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Ren and Stimpy,Ren and Stimpy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Richard Simmons,Richard Simmons,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Rick and Morty,Rick and Morty,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Rocky,Rocky,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Rugrats,Rugrats,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
RUN-DMC,RUN-DMC,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Saint Seiya,Saint Seiya,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Sally Face,Sally Face,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Samurai Jack,Samurai Jack,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Scooby-Doo,Scooby-Doo,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Seinfeld,Seinfeld,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Shang-Chi,Shang-Chi,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Snapsies,Snapsies,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Snow White,Snow White,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Snow White,Ultimate Princess Collection","Snow White,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Soccer,Soccer,International / Multiple,Global,,,,,
Soda Kats,Soda Kats,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Solar Opposites,Solar Opposites,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Soul,Soul,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Soup Troop,Soup Troop,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
South Park,South Park,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Space Jam,Space Jam,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Spider-Man,Spider-Man,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Spider-Man,Spider-Man No Way Home","Spider-Man,Spider-Man No Way Home",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Spider-Man,Spider-Man: Miles Morales","Spider-Man,Spider-Man: Miles Morales",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Spider-Man,What If","Spider-Man,What If",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Squid Game,Squid Game,South Korea,Asia-Pacific,36.0,128.0,Q884,https://www.wikidata.org/wiki/Q884,
Star Trek,Star Trek,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Star Wars,Star Wars,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
Star Wars Concept Series,Star Wars Concept Series,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
"Star Wars Valentines,The Mandalorian","Star Wars Valentines,The Mandalorian",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
"Star Wars,Star Wars Concept Series","Star Wars,Star Wars Concept Series",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
"Star Wars,The Book of Boba Fett","Star Wars,The Book of Boba Fett",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
"Star Wars,The Mandalorian","Star Wars,The Mandalorian",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
Stranger Things,Stranger Things,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q123728481
Stretch Armstrong,Stretch Armstrong,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Suicide Squad,Suicide Squad,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Tangled,Tangled,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Tangled,Ultimate Princess Collection","Tangled,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Teen Titans Go,Teen Titans Go,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Tennis,Tennis,International / Multiple,Global,,,,,
Thanos,Thanos,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
The Book of Boba Fett,The Book of Boba Fett,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
The Boys,The Boys,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Conjuring,The Conjuring,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Falcon and the Winter Soldier,The Falcon and the Winter Soldier,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Fast & The Furious,The Fast & The Furious,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Flash,The Flash,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Godfather,The Godfather,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Golden Girls,The Golden Girls,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Goonies,The Goonies,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Last Jedi,The Last Jedi,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
"The Little  Mermaid,Ultimate Princess Collection","The Little  Mermaid,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Little Mermaid,The Little Mermaid,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Mandalorian,The Mandalorian,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
The Matrix,The Matrix,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Mummy,The Mummy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Nightmare Before Christmas,The Nightmare Before Christmas,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Nun,The Nun,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Office,The Office,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Rise of Skywalker,The Rise of Skywalker,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
The Rocketeer,The Rocketeer,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Silence of the Lambs,The Silence of the Lambs,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Simpsons,The Simpsons,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Sword in the Stone,The Sword in the Stone,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Umbrella Academy,The Umbrella Academy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Walking Dead,The Walking Dead,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Warriors,The Warriors,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The White Stripes,The White Stripes,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
The Witcher,The Witcher,Poland,Europe,52.0,19.0,Q36,https://www.wikidata.org/wiki/Q36,https://www.wikidata.org/wiki/Q16977200
They Live,They Live,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Thor Love and Thunder,Thor Love and Thunder,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Thor,Thor Love and Thunder","Thor,Thor Love and Thunder",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Thor,Venom","Thor,Venom",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
TLC,TLC,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Toilet Ninjas,Toilet Ninjas,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Tokidoki,Tokidoki,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Tokyo Ghoul,Tokyo Ghoul,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Tony the Tiger,Tony the Tiger,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Toy Story,Toy Story,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Transformers,Transformers,International / Multiple,Global,,,,,
Trick ‘r Treat,Trick ‘r Treat,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Tupac Shakur,Tupac Shakur,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Turning Red,Turning Red,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Twenty One Pilots,Twenty One Pilots,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Twisted Treats,Twisted Treats,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Ultimate Princess Collection,Ultimate Princess Collection,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Universal Monsters,Universal Monsters,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Up,Up,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Venom,Venom,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Villainous Valentines,Villainous Valentines,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
WALL-E,WALL-E,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Walt Disney World 50th,Walt Disney World 50th,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
WandaVision,WandaVision,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
What If,What If,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Whitney Houston,Whitney Houston,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Winnie the Pooh,Winnie the Pooh,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Wonder Woman,Wonder Woman,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
WWE,WWE,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Yu-Gi-Oh!,Yu-Gi-Oh!,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Yungblud,Yungblud,United Kingdom,Europe,54.6,-2.0,Q145,https://www.wikidata.org/wiki/Q145,
Zorro,Zorro,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
